epsilon,gamma,dynamics_lipschitz,reward_lipschitz,simulated_value_gap,exact_fixed_policy_bound,optimal_policy_bound,simulation_to_exact_ratio,normalized_gamma_gap
0.03,0.98,0.8,1.0,6.805555555555548,6.80555555555555,13.6111111111111,0.9999999999999998,231.4814814814813
0.03,0.99,0.8,1.0,14.278846153846139,14.278846153846143,28.557692307692285,0.9999999999999998,480.76923076923043
0.0001,0.8,1.0,1.0,0.002000000000000001,0.0020000000000000013,0.004000000000000003,0.9999999999999998,25.000000000000014
0.0001,0.9,1.0,1.0,0.009000000000000005,0.009000000000000005,0.01800000000000001,1.0,100.00000000000004
0.0001,0.95,1.0,1.0,0.03799999999999992,0.03799999999999994,0.07599999999999987,0.9999999999999997,399.9999999999993
0.0001,0.97,1.0,1.0,0.10777777777777756,0.10777777777777758,0.21555555555555517,0.9999999999999998,1111.111111111109
0.0001,0.98,1.0,1.0,0.24499999999999938,0.24499999999999955,0.4899999999999991,0.9999999999999993,2499.9999999999955
0.0001,0.99,1.0,1.0,0.9899999999999972,0.9899999999999983,1.9799999999999967,0.9999999999999989,9999.999999999982
0.0003,0.8,1.0,1.0,0.006000000000000002,0.006000000000000003,0.012000000000000005,0.9999999999999999,25.000000000000014
0.0003,0.9,1.0,1.0,0.02700000000000001,0.027000000000000014,0.05400000000000003,0.9999999999999999,100.00000000000004
0.0003,0.95,1.0,1.0,0.11399999999999982,0.1139999999999998,0.2279999999999996,1.0000000000000002,399.9999999999993
0.0003,0.97,1.0,1.0,0.32333333333333303,0.32333333333333275,0.6466666666666655,1.0000000000000009,1111.1111111111093
0.0003,0.98,1.0,1.0,0.7349999999999997,0.7349999999999987,1.4699999999999973,1.0000000000000013,2499.9999999999955
0.0003,0.99,1.0,1.0,2.969999999999995,2.969999999999994,5.939999999999988,1.0000000000000002,9999.999999999982
0.001,0.8,1.0,1.0,0.02000000000000001,0.02000000000000001,0.04000000000000002,1.0,25.00000000000001
0.001,0.9,1.0,1.0,0.09000000000000008,0.09000000000000005,0.1800000000000001,1.0000000000000002,100.00000000000004
0.001,0.95,1.0,1.0,0.37999999999999945,0.37999999999999934,0.7599999999999987,1.0000000000000002,399.9999999999993
0.001,0.97,1.0,1.0,1.0777777777777766,1.0777777777777757,2.1555555555555515,1.0000000000000009,1111.111111111109
0.001,0.98,1.0,1.0,2.449999999999997,2.4499999999999953,4.899999999999991,1.0000000000000007,2499.9999999999955
0.001,0.99,1.0,1.0,9.899999999999988,9.899999999999983,19.799999999999965,1.0000000000000004,9999.999999999982
0.003,0.8,1.0,1.0,0.06000000000000003,0.06000000000000003,0.12000000000000006,1.0,25.00000000000001
0.003,0.9,1.0,1.0,0.27000000000000013,0.27000000000000013,0.5400000000000003,1.0,100.00000000000004
0.003,0.95,1.0,1.0,1.1399999999999983,1.1399999999999981,2.2799999999999963,1.0000000000000002,399.9999999999993
0.003,0.97,1.0,1.0,3.2333333333333294,3.233333333333327,6.466666666666654,1.0000000000000007,1111.111111111109
0.003,0.98,1.0,1.0,7.34999999999999,7.349999999999986,14.699999999999973,1.0000000000000004,2499.9999999999955
0.003,0.99,1.0,1.0,29.69999999999993,29.699999999999946,59.39999999999989,0.9999999999999994,9999.999999999982
0.01,0.8,1.0,1.0,0.2000000000000001,0.2000000000000001,0.4000000000000002,1.0,25.00000000000001
0.01,0.9,1.0,1.0,0.9000000000000006,0.9000000000000006,1.8000000000000012,1.0,100.00000000000006
0.01,0.95,1.0,1.0,3.7999999999999945,3.799999999999993,7.599999999999986,1.0000000000000004,399.9999999999993
0.01,0.97,1.0,1.0,10.77777777777776,10.777777777777759,21.555555555555518,1.0000000000000002,1111.111111111109
0.01,0.98,1.0,1.0,24.499999999999957,24.499999999999954,48.99999999999991,1.0000000000000002,2499.9999999999955
0.01,0.99,1.0,1.0,98.99999999999957,98.99999999999983,197.99999999999966,0.9999999999999974,9999.999999999982
0.03,0.8,1.0,1.0,0.6000000000000003,0.6000000000000003,1.2000000000000006,1.0,25.00000000000001
0.03,0.9,1.0,1.0,2.700000000000002,2.7000000000000015,5.400000000000003,1.0000000000000002,100.00000000000006
0.03,0.95,1.0,1.0,11.399999999999984,11.399999999999979,22.799999999999958,1.0000000000000004,399.9999999999993
0.03,0.97,1.0,1.0,32.33333333333328,32.33333333333327,64.66666666666654,1.0000000000000002,1111.111111111109
0.03,0.98,1.0,1.0,73.49999999999983,73.49999999999986,146.99999999999972,0.9999999999999997,2499.9999999999955
0.03,0.99,1.0,1.0,296.9999999999991,296.99999999999943,593.9999999999989,0.9999999999999989,9999.999999999982
