gamma,case,horizon,empirical_epsilon,true_value,model_value,absolute_value_gap,finite_horizon_local_envelope,gap_to_envelope_ratio,reward_lipschitz,empirical_dynamics_lipschitz
0.97,4,40,0.06598694834428573,-1.2854773460317532,-1.3392226952794297,0.05374534924767649,48.338195564823664,0.0011118608921924194,2.3082995414733887,0.9871412896035752
0.98,4,40,0.06598694834428573,-1.4662679748506973,-1.543716228447463,0.07744825359676577,61.45676826902563,0.0012602070655218602,2.3082995414733887,0.9871412896035752
0.99,4,40,0.06598694834428573,-1.6896339598758834,-1.7999482820715078,0.11031432219562443,78.72848390014529,0.00140119962598976,2.3082995414733887,0.9871412896035752
0.8,5,40,0.034653385806725896,-0.5519186725438681,-0.5484579637716456,0.003460708772222487,1.0813787594995086,0.0032002744106275926,1.7076537609100342,0.9766608811446463
0.9,5,40,0.034653385806725896,-0.9439726049938244,-0.9586999646143137,0.014727359620489322,4.146985949890486,0.0035513406118191076,1.7076537609100342,0.9766608811446463
0.95,5,40,0.034653385806725896,-1.438816311790546,-1.5104855599094222,0.07166924811887632,10.817266253515236,0.006625449206779606,1.7076537609100342,0.9766608811446463
0.97,5,40,0.034653385806725896,-1.7887768098594699,-1.9168148579433804,0.1280380480839105,16.894504519086382,0.007578680270810009,1.7076537609100342,0.9766608811446463
0.98,5,40,0.034653385806725896,-2.0209914014319943,-2.1916708500230597,0.17067944859106543,21.37949744884398,0.007983323695959669,1.7076537609100342,0.9766608811446463
0.99,5,40,0.034653385806725896,-2.30545818171703,-2.5328480203333594,0.22738983861632933,27.2654988814577,0.008339837814996634,1.7076537609100342,0.9766608811446463
0.8,6,40,0.014287732784652132,-0.33387528803606475,-0.3314413275561251,0.0024339604799396564,0.4096386649413703,0.005941725447933529,1.6050499163439356,0.9703451689002809
0.9,6,40,0.014287732784652132,-0.5772614790990559,-0.5714224986703467,0.005838980428709228,1.5418841253561175,0.003786912604318202,1.6050499163439356,0.9703451689002809
0.95,6,40,0.014287732784652132,-0.9010315029053922,-0.8899034352807852,0.011128067624607052,3.967550968305021,0.002804769923185405,1.6050499163439356,0.9703451689002809
0.97,6,40,0.014287732784652132,-1.1375451698896135,-1.1223329736275203,0.015212196262093247,6.162362167918347,0.0024685657622151645,1.6050499163439356,0.9703451689002809
0.98,6,40,0.014287732784652132,-1.2968552221500058,-1.2788520989430257,0.018003123206980165,7.777532318005332,0.0023147603212528138,1.6050499163439356,0.9703451689002809
0.99,6,40,0.014287732784652132,-1.4939938715235923,-1.4725195033693028,0.02147436815428949,9.89337906940029,0.0021705797385959467,1.6050499163439356,0.9703451689002809
0.8,7,40,0.09454346868454763,-1.4088757048661384,-1.4170920329994747,0.008216328133336281,4.895725206186772,0.0016782657905213376,2.890702724456787,0.971140824649223
0.9,7,40,0.09454346868454763,-2.5861772521746214,-2.6726188023665527,0.08644155019193134,18.470008458377993,0.004680103443738352,2.890702724456787,0.971140824649223
0.95,7,40,0.09454346868454763,-4.1722239767642755,-4.461174243582193,0.2889502668179178,47.60660980402827,0.006069540931550813,2.890702724456787,0.971140824649223
0.97,7,40,0.09454346868454763,-5.327326523662676,-5.807114139017882,0.47978761535520587,73.99270240363266,0.006484255876180172,2.890702724456787,0.971140824649223
0.98,7,40,0.09454346868454763,-6.1029364530446735,-6.724541644365108,0.6216051913204348,93.41715180326982,0.0066540798913404375,2.890702724456787,0.971140824649223
0.99,7,40,0.09454346868454763,-7.060198068703962,-7.868355549192139,0.8081574804881768,118.86860504595052,0.006798746230560802,2.890702724456787,0.971140824649223
0.8,8,40,0.01008425263515497,-0.10460316559213205,-0.0958017025045813,0.008801463087550754,0.13204420762206218,0.06665542734553234,0.7187041066850642,0.9758338563857356
0.9,8,40,0.01008425263515497,-0.18928719950583414,-0.16216397392317858,0.027123225582655563,0.5051149160776093,0.05369713845173435,0.7187041066850642,0.9758338563857356
