epsilon,case,step,state_error,error_envelope,empirical_dynamics_lipschitz
0.0005,1,34,0.01552859163922145,0.015813213950130973,0.9955663756982278
0.0005,1,35,0.015942591290798155,0.01624310410047255,0.9955663756982278
0.0005,1,36,0.01635392888547828,0.016671088279396482,0.9955663756982278
0.0005,1,37,0.01676260867593294,0.01709717493726396,0.9955663756982278
0.0005,1,38,0.017168837450492243,0.017521372486970457,0.9955663756982278
0.0005,1,39,0.01757244553795611,0.01794368930411182,0.9955663756982278
0.0005,1,40,0.01797281264842994,0.01836413372714966,0.9955663756982278
0.0005,2,0,0.0,0.0,0.9914964427950954
0.0005,2,1,0.0005000000000000021,0.0005,0.9914964427950954
0.0005,2,2,0.0009956344616801692,0.0009957482213975477,0.9914964427950954
0.0005,2,3,0.0014867449397875947,0.0014872808194352116,0.9914964427950954
0.0005,2,4,0.001973167896231591,0.001974633641907387,0.9914964427950954
0.0005,2,5,0.0024547371847503086,0.0024578422317746984,0.9914964427950954
