epsilon,gamma,case,horizon,true_value,model_value,absolute_value_gap,finite_horizon_bound,gap_to_bound_ratio,reward_lipschitz,empirical_dynamics_lipschitz,max_rollout_state_error
0.001,0.8,1,40,-0.2078806364165956,-0.2135347848936416,0.0056541484770460115,0.01576946781918546,0.35855036719546474,0.8038488549966465,0.9954693086392729,0.0358707357180207
0.001,0.9,1,40,-0.40439094549719173,-0.4274137947893896,0.02302284929219789,0.06429930166834019,0.35805753242781985,0.8038488549966465,0.9954693086392729,0.0358707357180207
0.001,0.95,1,40,-0.7000215424708716,-0.7628012728824577,0.06277973041158613,0.17536672335681944,0.35799112402783473,0.8038488549966465,0.9954693086392729,0.0358707357180207
0.001,0.97,1,40,-0.931728553281784,-1.0315983502270292,0.09986979694524512,0.2788416548151136,0.3581595332715406,0.8038488549966465,0.9954693086392729,0.0358707357180207
0.001,0.98,1,40,-1.0930205935805768,-1.2205412811723693,0.12752068759179247,0.3559098014861921,0.3582949586083253,0.8038488549966465,0.9954693086392729,0.0358707357180207
0.001,0.99,1,40,-1.2971632799208983,-1.461214251547458,0.16405097162655968,0.4576496825457435,0.3584640782748981,0.8038488549966465,0.9954693086392729,0.0358707357180207
0.001,0.8,2,40,-0.1926548079577949,-0.19643832642096107,0.003783518463166158,0.017082183700420278,0.22148915674481776,0.8842779404665237,0.9914966166719514,0.032129541895566445
0.001,0.9,2,40,-0.32594342747374316,-0.339101769632177,0.013158342158433811,0.06870309044619406,0.19152474907571995,0.8842779404665237,0.9914966166719514,0.032129541895566445
0.001,0.95,2,40,-0.4954379637483884,-0.527634398094812,0.032196434346423664,0.1855266821724661,0.1735407218488054,0.8842779404665237,0.9914966166719514,0.032129541895566445
0.001,0.97,2,40,-0.6167229596310776,-0.6657668237822237,0.049043864151146144,0.29382979329118375,0.166912495842598,0.8842779404665237,0.9914966166719514,0.032129541895566445
0.001,0.98,2,40,-0.6977684219981136,-0.7590979919874058,0.061329569989292176,0.37433102525727646,0.16383779556380765,0.8842779404665237,0.9914966166719514,0.032129541895566445
0.001,0.99,2,40,-0.7975714039984719,-0.8749005025872338,0.07732909858876191,0.4804652241492337,0.16094629684320982,0.8842779404665237,0.9914966166719514,0.032129541895566445
0.001,0.8,3,40,-0.0368406203086425,-0.03815943082409223,0.001318810515449735,0.009512506864738708,0.13863963876213828,0.48345387255690364,0.9962330249343889,0.0362618037321688
0.001,0.9,3,40,-0.06448645270746081,-0.0703937573098035,0.005907304602342692,0.03889113668652103,0.15189333883342263,0.48345387255690364,0.9962330249343889,0.0362618037321688
0.001,0.95,3,40,-0.10333928539466948,-0.12062533773809707,0.017286052343427588,0.10627574228175063,0.16265284976885924,0.48345387255690364,0.9962330249343889,0.0362618037321688
0.001,0.97,3,40,-0.13290046130135336,-0.16108203956295164,0.028181578261598283,0.16911421027307788,0.16664228402859796,0.48345387255690364,0.9962330249343889,0.0362618037321688
0.001,0.98,3,40,-0.15320423571522623,-0.18957526966265617,0.03637103394742994,0.21593473664575932,0.16843530833622464,0.48345387255690364,0.9962330249343889,0.0362618037321688
0.001,0.99,3,40,-0.17866382304774606,-0.22590132994298764,0.04723750689524159,0.2777594712395354,0.17006623278924915,0.48345387255690364,0.9962330249343889,0.0362618037321688
0.001,0.8,4,40,-0.3411326398633364,-0.33594847461602523,0.00518416524731119,0.027351138678229654,0.18954111228420503,1.3325284407011107,1.0068065820494372,0.041984494587507526
0.001,0.9,4,40,-0.5997409469903723,-0.5807988972637738,0.01894204972659852,0.11625652642830954,0.16293321595393853,1.3325284407011107,1.0068065820494372,0.041984494587507526
0.001,0.95,4,40,-0.9494348373507802,-0.9018739100593584,0.047560927291421806,0.32668401379308587,0.14558694421314966,1.3325284407011107,1.0068065820494372,0.041984494587507526
0.001,0.97,4,40,-1.2076625229983002,-1.1345068026774527,0.0731557203208475,0.5256156768932794,0.13918100912294704,1.3325284407011107,1.0068065820494372,0.041984494587507526
0.001,0.98,4,40,-1.3826868441549587,-1.290775598084533,0.09191124607042567,0.6746708056006258,0.13623124834726125,1.3325284407011107,1.0068065820494372,0.041984494587507526
0.001,0.99,4,40,-1.6003188585819024,-1.4838997126147682,0.11641914596713421,0.8722004151276928,0.13347751726315116,1.3325284407011107,1.0068065820494372,0.041984494587507526
